iter	Passed	Remaining
0	1	950
1	3	857
2	4	813
3	6	795
4	7	785
5	9	808
6	11	818
7	13	811
8	14	802
9	16	798
10	17	791
11	19	783
12	20	777
13	22	780
14	24	776
15	25	774
16	27	783
17	29	781
18	30	775
19	32	770
20	33	765
21	35	761
22	36	758
23	38	754
24	39	751
25	41	749
26	42	752
27	44	753
28	46	751
29	47	750
30	49	748
31	51	745
32	52	742
33	54	741
34	55	738
35	57	739
36	58	737
37	60	738
38	62	736
39	63	734
40	65	732
41	67	731
42	68	729
43	70	728
44	71	726
45	73	725
46	75	727
47	77	728
48	78	726
49	80	724
50	82	722
51	83	720
52	85	718
53	86	716
54	88	714
55	89	713
56	91	713
57	93	712
58	95	711
59	96	709
60	98	707
61	99	705
62	101	703
63	102	701
64	104	700
65	106	700
66	108	699
67	109	697
68	111	695
69	112	693
70	114	691
71	116	689
72	117	688
73	119	685
74	120	683
75	122	681
76	123	680
77	125	678
78	127	677
79	128	675
80	130	673
81	131	671
82	133	669
83	134	668
84	136	666
85	138	666
86	140	665
87	141	663
88	143	661
89	144	660
90	146	658
91	148	657
92	149	655
93	151	654
94	153	652
95	154	651
96	156	650
97	158	648
98	159	646
99	161	645
100	162	643
101	164	641
102	165	639
103	167	637
104	169	636
105	170	634
106	172	632
107	173	631
108	175	629
109	177	628
110	178	626
111	180	624
112	181	623
113	183	621
114	185	619
115	186	618
116	188	617
117	190	615
118	191	614
119	193	612
120	194	610
121	196	608
122	198	607
123	199	605
124	201	604
125	202	602
126	204	601
127	206	600
128	208	598
129	209	597
130	211	595
131	212	593
132	214	592
133	216	590
134	217	588
135	219	587
136	221	585
137	222	584
138	224	583
139	226	581
140	227	579
141	229	578
142	231	576
143	232	575
144	234	573
145	235	571
146	237	571
147	239	569
148	241	568
149	242	566
150	244	564
151	245	563
152	247	561
153	249	559
154	250	557
155	252	556
156	254	555
157	255	553
158	257	552
159	259	550
160	260	548
161	262	547
162	264	546
163	265	544
164	267	542
165	269	541
166	270	539
167	272	538
168	274	537
169	275	535
170	277	533
171	279	532
172	280	530
173	282	528
174	283	527
175	285	525
176	287	524
177	288	522
178	290	520
179	291	518
180	293	517
181	295	515
182	296	514
183	298	512
184	300	511
185	301	509
186	303	507
187	305	506
188	306	504
189	308	502
190	309	501
191	311	499
192	312	497
193	314	496
194	316	495
195	318	493
196	320	492
197	321	490
198	323	489
199	324	487
200	326	485
201	328	483
202	329	482
203	331	480
204	332	478
205	334	477
206	336	475
207	337	474
